iso_utc,vin_v,vign_v,vign_pct_of_vin,v12_v,v5stb_v,curr_a,bp_mode,status1_faults,reason
2026-06-16T06:19:59Z,120.41,120.64,100.2,11.85,4.89,0.00,MANUAL_on,0x00,start
2026-06-16T06:24:59Z,120.46,120.69,100.2,11.86,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T06:29:59Z,120.41,120.64,100.2,11.85,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T06:34:59Z,120.41,120.64,100.2,11.86,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T06:39:59Z,120.36,120.59,100.2,11.85,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T06:44:59Z,120.46,120.69,100.2,11.84,4.88,0.00,MANUAL_on,0x00,hb
2026-06-16T06:49:59Z,120.46,120.69,100.2,11.84,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T06:54:59Z,120.50,120.73,100.2,11.84,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T06:59:59Z,120.55,120.78,100.2,11.84,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T07:04:59Z,120.55,120.78,100.2,11.84,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T07:09:59Z,120.50,120.78,100.2,11.83,4.88,0.00,MANUAL_on,0x00,hb
2026-06-16T07:14:59Z,120.46,120.73,100.2,11.86,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T07:19:59Z,120.46,120.69,100.2,11.83,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T07:24:59Z,120.50,120.73,100.2,11.84,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T07:29:59Z,120.55,120.82,100.2,11.84,4.89,0.00,MANUAL_on,0x00,hb
2026-06-16T07:34:59Z,120.69,120.87,100.1,11.85,4.88,0.00,MANUAL_on,0x00,hb
2026-06-16T07:40:00Z,120.69,120.92,100.2,11.84,4.89,0.00,MANUAL_on,0x00,hb
