zabbix_host,train,type,coach,ip,mac,serial,config,firmware
50_2123_MAR3-B1,2123,AP,1,,,,,
50_2123_MAR3-B1,2123,AP,1,,,,,
50_2123_MAR3-B1,2123,AP,1,,,,,
50_2123_MAR3-B1,2123,AP,1,,,,,
50_2123_MAR3-B1,2123,SW,1,,,,,
50_2123_MAR3-B1,2123,SW,1,,,,,
50_2123_MAR3-B1,2123,SW,1,,,,,
50_2123_MAR3-B1,2123,AP,2,,,,,
50_2123_MAR3-B1,2123,AP,2,,,,,
50_2123_MAR3-B1,2123,AP,2,,,,,
50_2123_MAR3-B1,2123,AP,2,,,,,
50_2123_MAR3-B1,2123,BOX,2,10.179.123.1,7C:70:BC:70:D4:F4,box1-t123.dostoneu-bench.21net.com,2026.1.3 - 85a7fd76 - _,6.1.0-47-amd64
50_2123_MAR3-B1,2123,SW,2,,,,,
50_2123_MAR3-B1,2123,SW,2,,,,,
50_2123_MAR3-B1,2123,SW,2,0.0.0.0,A0:59:3A:D0:56:20,unknown,unknown,unknown
50_4003_MAR3-B1,4003,AP,1,10.179.3.15,,ap1-train-4003,,
50_4003_MAR3-B1,4003,AP,1,10.179.3.16,,ap2-train-4003,,
50_4003_MAR3-B1,4003,AP,1,10.179.3.17,,ap3-train-4003,,
50_4003_MAR3-B1,4003,AP,1,10.179.3.18,,ap4-train-4003,,
50_4003_MAR3-B1,4003,SW,1,10.179.3.11,,sw1-train-4003,,
50_4003_MAR3-B1,4003,SW,1,10.179.3.12,,sw2-train-4003,,
50_4003_MAR3-B1,4003,SW,1,10.179.3.13,,sw3-train-4003,,
50_4003_MAR3-B1,4003,AP,2,10.179.3.35,,ap1-train-4003,,
50_4003_MAR3-B1,4003,AP,2,10.179.3.36,,ap2-train-4003,,
50_4003_MAR3-B1,4003,AP,2,10.179.3.37,,ap3-train-4003,,
50_4003_MAR3-B1,4003,AP,2,10.179.3.38,,ap4-train-4003,,
50_4003_MAR3-B1,4003,BOX,2,10.179.3.1,,box1-train-4003,,
50_4003_MAR3-B1,4003,SW,2,10.179.3.31,,sw1-train-4003,,
50_4003_MAR3-B1,4003,SW,2,10.179.3.32,,sw2-train-4003,,
50_4003_MAR3-B1,4003,SW,2,10.179.3.33,,sw3-train-4003,,
50_4003_MAR3-B1,4003,AP,3,10.179.3.45,,ap1-train-4003,,
50_4003_MAR3-B1,4003,AP,3,10.179.3.46,,ap2-train-4003,,
50_4003_MAR3-B1,4003,AP,3,10.179.3.47,,ap3-train-4003,,
50_4003_MAR3-B1,4003,AP,3,10.179.3.48,,ap4-train-4003,,
50_4003_MAR3-B1,4003,SW,3,10.179.3.41,,sw1-train-4003,,
50_4003_MAR3-B1,4003,SW,3,10.179.3.42,,sw2-train-4003,,
50_4003_MAR3-B1,4003,SW,3,10.179.3.43,,sw3-train-4003,,
50_4003_MAR3-B1,4003,AP,4,10.179.3.65,,ap1-train-4003,,
50_4003_MAR3-B1,4003,AP,4,10.179.3.66,,ap2-train-4003,,
50_4003_MAR3-B1,4003,AP,4,10.179.3.67,,ap3-train-4003,,
50_4003_MAR3-B1,4003,AP,4,10.179.3.68,,ap4-train-4003,,
50_4003_MAR3-B1,4003,SW,4,10.179.3.61,,sw1-train-4003,,
50_4003_MAR3-B1,4003,SW,4,10.179.3.62,,sw2-train-4003,,
50_4003_MAR3-B1,4003,SW,4,10.179.3.63,,sw3-train-4003,,
50_4004_MAR3-B1,4004,AP,1,10.179.4.15,,ap1-train-4004,,
50_4004_MAR3-B1,4004,AP,1,10.179.4.16,,ap2-train-4004,,
50_4004_MAR3-B1,4004,AP,1,10.179.4.17,,ap3-train-4004,,
50_4004_MAR3-B1,4004,AP,1,10.179.4.18,,ap4-train-4004,,
50_4004_MAR3-B1,4004,SW,1,10.179.4.11,,sw1-train-4004,,
50_4004_MAR3-B1,4004,SW,1,10.179.4.12,,sw2-train-4004,,
50_4004_MAR3-B1,4004,SW,1,10.179.4.13,,sw3-train-4004,,
50_4004_MAR3-B1,4004,AP,2,10.179.4.35,,ap1-train-4004,,
50_4004_MAR3-B1,4004,AP,2,10.179.4.36,,ap2-train-4004,,
50_4004_MAR3-B1,4004,AP,2,10.179.4.37,,ap3-train-4004,,
50_4004_MAR3-B1,4004,AP,2,10.179.4.38,,ap4-train-4004,,
50_4004_MAR3-B1,4004,BOX,2,10.179.4.1,,box1-train-4004,,
50_4004_MAR3-B1,4004,SW,2,10.179.4.31,,sw1-train-4004,,
50_4004_MAR3-B1,4004,SW,2,10.179.4.32,,sw2-train-4004,,
50_4004_MAR3-B1,4004,SW,2,10.179.4.33,,sw3-train-4004,,
